Mr. Darling,163,1.8,3.3,4.8,6,1.1,2.35,4.7,6.65,1.3,2.5,5,6.6,TRUE
STAND PROUD,165,2.5,4.9,6.5,7.7,2.4,4.8,7.25,8.1,2.55,4.5,6.4,7.2,TRUE
青い月,180,2.3,4.7,5.8,7.05,2.15,4.2,5.7,6.45,2.35,3.7,5.8,6.75,TRUE
有頂天ビバーチェ,133,3.15,5.95,7.4,8.25,3.4,5.75,7.8,8.4,2.5,4.45,5.5,7.4,TRUE
天国ミュージック,183,2.6,4.75,6.1,7.9,2.6,4.8,6,7.4,2.65,4.4,5.4,6.4,TRUE
箱庭の世界,138,1.6,3,4.7,6.3,2.2,3.9,4.8,6.2,2.25,4.1,5.2,6.2,TRUE
メギツネ,142,3,5.5,6.8,7.8,2,4.9,7.5,8.25,2.1,4.65,6.7,7.3,TRUE
For You,147,1.7,3.1,5,6.7,2,3.7,6.5,7.1,1.9,3.4,5.9,7,TRUE
DEMON SLAYER,110-260,3.5,5.5,6.95,8.2,2.7,5.5,7.75,9.2,3.1,5.4,6.9,7.8,TRUE
FAIRY TALE,175,3.2,5.75,7.3,8.3,2.9,5.1,7.2,7.85,2.4,4.7,6.3,6.9,TRUE
Party People,144,2.7,5.4,7.05,8.45,2.7,5,7,7.65,2.4,4.1,6,6.6,TRUE
Street For Student,170,2.8,5,7.35,8.5,3,5.55,7.35,8.2,3.35,5.4,7,8.05,TRUE
恋のミラクルレシピ,160,2.4,5.35,6.85,7.9,2.5,4.8,6.65,7.55,2.3,4,5.9,6.8,TRUE
ブラックホール,172,2.65,4.8,7.2,8,3,5.25,7,7.7,2.95,4.8,5.7,6.3,TRUE
めた・メタ?ひまわり*パンチ,177,2.7,5.15,6.4,7.55,2.7,4.45,6.15,7.4,2.75,4.5,5.8,6.65,TRUE
夕星の芒野と消ゆ,185,2.5,4.5,6.3,7.25,3.1,5.35,6.9,8.2,3.3,5.7,6.7,7.8,TRUE
ララバイ哀愁,144,2.4,3.5,5.7,6.45,2.6,3.7,5.7,7.45,2.3,3.4,5.65,7.5,TRUE
Russian Caravan Rhapsody,158,2.4,4.9,7.4,8.5,2.4,5.1,7.15,8,2.7,5.25,6.55,7.75,TRUE
ほおずき程度には赤い頭髪,174,2.7,5.05,7.6,8.7,3.1,5.3,6.75,7.65,2.95,5.55,7,8.15,TRUE
Silver star,148,3.2,5.9,7.2,8.3,3.25,5.5,7.45,8.55,3.1,5.4,7.6,8.65,TRUE
EVIL OGRE,120-130,3.3,5.25,7.65,8.5,3,5.6,7.1,8.6,3.2,5.2,6.95,8.4,TRUE
サヨナラ・ヘヴン -GITADOROCK ver.-,140,3.1,5.2,7.6,8.85,3.3,5.3,7.45,9.45,2.9,5.35,6.9,7.75,TRUE
GORI GORI,130,3.3,5.6,6.7,0,2.8,5.3,7.5,0,2.9,5.4,8.15,0,TRUE
MASCARADA,132,2.7,5.8,7.8,9,2.9,5.7,7.35,7.9,0,0,0,0,TRUE
ディストピア・ロックヒーロー,209,3.3,5.8,8.35,9.55,3,5.65,8,9.2,2.9,5.2,6.5,8.1,TRUE
Marigold,165,2.35,4.3,6,0,2.4,5.1,6.25,0,2.2,5,6.1,0,TRUE
バリバリブギ ～涙のフルーツポンチ～,175,2.5,4.75,6.1,7.15,2.7,4.55,6,7.15,2.1,4.7,5.75,7.25,TRUE
Opus Life,131,2.85,5.5,6.45,7.5,2.65,5.2,6.55,8.15,2.4,5,5.9,6.5,TRUE
SEA ANEMONES,115,2.75,4.9,7.05,8.35,2.7,4.5,6.15,8.05,2.5,4.3,5.9,7.3,TRUE
水面静かに大地の烈日わたらせて　-Remaster-,118-124,3.6,5.75,6.85,8,2.7,5.05,7.55,8.25,2.6,4.65,6.9,8,TRUE
炎のDiargos,230,3.2,5.3,6.75,7.8,3,5.2,6.4,7.6,2.8,4.7,6.2,7.4,TRUE
Sand Blow,165,2.5,4.45,6.25,7.45,2.45,4.5,6.3,7.3,2.3,5,6.15,6.8,TRUE
狂鬼村正,200,2.6,5.1,6.7,7.5,2.6,5.1,7.35,8.4,2.7,5.2,6.05,7.2,TRUE
NAKED SCREAM,188,3.55,5.8,7.9,0,3.1,5.45,6.9,0,3.2,5.4,7.15,0,TRUE
乙女繚乱 舞い咲き誇れ,210,3.5,5.5,7.6,0,2.8,5.4,7.25,0,3.2,5.55,6.8,0,TRUE
凱歌の奏,188,2.9,5.3,8.35,0,3.3,5.3,7.6,0,3.45,5.5,6.65,0,TRUE
九尾狐夜行,145-290,3.7,5.75,7.6,8.6,3.4,5.6,7.55,8.5,3.5,5.5,7.4,8.2,TRUE
めた・メタ?ひまわり*パンチ -デモテープVer.-,153,2.6,4.8,6.5,0,2.75,5.3,6.7,0,2.8,4.9,6.6,0,TRUE
滅亡天使 † にこきゅっぴん,200,2.9,5.75,8.2,0,3.1,5.4,7.3,0,3,5.3,7.6,0,TRUE
CHIMERA,150-200,3,4.9,6.55,7.9,3.2,5.5,7.6,8.6,0,0,0,0,TRUE
SUZY AND THE TIME MACHINE,190,3.4,5.4,7.6,0,3.3,5.8,7.5,0,0,0,0,0,TRUE
Plastic Umbrella,190,3.3,5.6,6.9,0,3.2,5.5,7.15,0,3.25,5.4,7,0,TRUE
妄想学園ino-koi組,222,3.7,5.6,7,0,3.3,5.6,7.3,0,0,0,0,0,TRUE
The ULTIMATES　-Brightness-,135-174,3.3,5.5,7.4,8.4,3.45,6,8,9.45,3,5.6,7.1,8.15,TRUE
MODEL DD ULTIMATES,136-230,4.5,6.85,8.95,9.95,4.2,6.4,8.9,9.99,3.8,5.8,7.8,9.5,TRUE
